Transmitter,Receiver,Detections,Minimum Interval,Short Intervals,Long Intervals,First Detected,Last Detected,Acceptance
A69-1602-4000,VR2W-130711,1,0,0,0,2021-03-04 05:36:40,2021-03-04 05:36:40,Questionable
A69-1602-4000,VR2W-130715,1,0,0,0,2020-08-24 13:20:49,2020-08-24 13:20:49,Questionable
A69-1602-28999,VR2W-130715,1,0,0,0,2021-04-29 09:45:01,2021-04-29 09:45:01,Questionable
A69-9001-20959,VR2W-110310,1,0,0,0,2021-04-05 08:07:34,2021-04-05 08:07:34,Questionable
A69-1602-30755,VR2W-104543,30,127,10,12,2021-03-07 06:29:49,2021-05-13 06:05:04,Questionable
A69-1602-30755,VR2W-123737,19,127,6,11,2021-03-05 13:33:38,2021-05-12 08:14:00,Questionable
A69-1602-37694,VR2W-130711,1,0,0,0,2020-09-17 22:12:23,2020-09-17 22:12:23,Questionable
A69-1105-26,VR2W-123737,8,968172,0,7,2020-08-08 21:23:11,2021-05-16 03:58:07,Questionable
A69-1105-26,VR2W-123731,4,600415,0,3,2020-07-13 13:27:13,2021-05-08 16:01:25,Questionable
A69-1105-26,VR2W-110317,1,0,0,0,2020-08-10 02:36:39,2020-08-10 02:36:39,Questionable
A69-1105-26,VR2W-104543,8,73396,0,7,2020-06-20 21:40:52,2020-09-05 03:46:39,Questionable
A69-1105-26,VR2W-130715,1,0,0,0,2021-01-28 11:58:55,2021-01-28 11:58:55,Questionable
A69-1105-26,VR2W-130711,2,21121575,0,1,2020-08-22 15:32:32,2021-04-24 02:38:47,Questionable
A69-1105-27,VR2W-123731,1,0,0,0,2021-04-11 07:20:29,2021-04-11 07:20:29,Questionable
A69-1105-27,VR2W-123737,2,14527741,0,1,2020-08-05 19:40:08,2021-01-20 23:09:09,Questionable
A69-1303-33983,VR2W-110310,1,0,0,0,2021-04-02 11:20:11,2021-04-02 11:20:11,Questionable
A69-1602-45579,VR2W-130711,2,1594213,0,1,2020-06-16 14:23:16,2020-07-05 01:13:29,Questionable
A69-1602-45579,VR2W-130715,1,0,0,0,2020-06-01 16:15:57,2020-06-01 16:15:57,Questionable
A69-1602-56918,VR2W-104543,9,115,2,6,2021-02-28 03:43:13,2021-05-02 14:35:17,Questionable
A69-1601-63325,VR2W-110310,1,0,0,0,2021-03-07 15:51:00,2021-03-07 15:51:00,Questionable
